	X	Y	OBJECTID	LocID	API	ConstructNumber	ConstructType	ConstructStatus	LocType	ElevationType	Depth	Latitude	Longitude	CoordsBH_N	CoordsBH_E	UTMZone	FootageNS	Dir_NS	FootageEW	Dir_EW	QtrQtr	Section	Township	TownshipDir	Range	RangeDir	Meridian	County	FORKLIFT_HASH
16262	-110.42222065	40.0447115380001	151861	131905	4301350476	0	Directional	P	BH			40.044705	-110.422209	4432879.0	549288.0	12.0	1983	FSL	630.0	FWL	NWSW	14.0	5.0	S	5.0	W	U	7.0	ae9f63b6c75c0600
16700	-110.344541321	40.1100590730001	152376	118553	4301333073	0	Vertical	PA	BH			40.110053	-110.34453	4440178.0	555861.0	12.0	660	FNL	1980.0	FWL	NENW	28.0	4.0	S	4.0	W	U	7.0	3c869512096d597f
16755	-110.574563157	40.149242848	152432	116679	4301351109	0	Directional	P	BH			40.149237	-110.574552	4444408.0	536237.0	12.0	1982	FNL	836.0	FWL	SWNW	9.0	4.0	S	6.0	W	U	7.0	9461dd71eedfcaa5
16773	-110.555382383	40.1090782640001	152452	129367	4301333610	0	Vertical	PA	BH			40.109072	-110.555371	4439958.0	537893.0	12.0	822	FNL	896.0	FWL	NWNW	27.0	4.0	S	6.0	W	U	7.0	7b732f2a5d16f004
16780	-110.537451198	40.105908744	152459	134038	4301351663	0	Directional	APD	BH			40.105903	-110.53744	4439614.0	539423.0	12.0	1980	FNL	660.0	FWL	SWNW	26.0	4.0	S	6.0	W	U	7.0	9c8d6963e03ffae6
16794	-110.61789884	40.1134638120001	152474	111049	4301352123	0	Directional	LA	BH			40.113458	-110.617888	4440420.0	532563.0	12.0	810	FSL	810.0	FEL	SESE	24.0	4.0	S	7.0	W	U	7.0	ad4395cb81ca42a1
16903	-110.226433029	40.1075916020001	152594	117086	4301332368	0	Vertical	PA	BH			40.107585	-110.226422	4439985.0	565929.0	12.0	2038	FNL	2144.0	FEL	SWNE	28.0	4.0	S	3.0	W	U	7.0	33a39f0c47f03ebb
17388	-110.545343305	40.0307184390001	153130	133543	4301332738	0	Vertical	P	BH			40.030712	-110.545332	4431265.0	538793.0	12.0	2131	FSL	2392.0	FEL	NWSE	22.0	5.0	S	6.0	W	U	7.0	2046a7e507bd181d
17390	-110.580320999	40.026201386	153133	135597	4301351443	0	Directional	LA	BH			40.026195	-110.58031	4430749.0	535811.0	12.0	500	FSL	1690.0	FEL		20.0	5.0	S	6.0	W	U	7.0	686c6a8a30e606ec
17463	-110.384760868	39.976198153	153211	126707	4301351918	0	Directional	P	BH			39.976192	-110.38475	4425296.0	552536.0	12.0	2010	FNL	665.0	FWL	SWNW	7.0	6.0	S	4.0	W	U	7.0	38231f8f032e6a4a
17479	-110.403600784	39.9832791760001	153228	110372	4301350329	0	Directional	P	BH			39.983273	-110.40359	4426071.0	550922.0	12.0	620	FSL	690.0	FWL	SWSW	1.0	6.0	S	5.0	W	U	7.0	37e2a636c9829175
17792	-110.056893045	40.0833069820001	153603	121276	4301331637	0	Vertical	I	BH			40.083301	-110.056882	4437429.0	580407.0	12.0	603	FSL	699.0	FWL	SWSW	30.0	8.0	S	17.0	E	S	7.0	706cde4235e3a9a8
17835	-110.018376241	40.0766623390001	153656	132265	4301331665	0	Vertical	I	BH			40.076656	-110.018365	4436727.0	583699.0	12.0	1835	FNL	738.0	FWL	SWNW	33.0	8.0	S	17.0	E	S	7.0	a079ce6b9ea17d56
17849	-110.005856034	40.108548033	153672	136268	4301351973	0	Directional	LA	BH			40.108542	-110.005845	4440278.0	584727.0	12.0	766	FNL	1126.0	FEL	NENE	21.0	8.0	S	17.0	E	S	7.0	72392a3ec00463df
